,Instrument,Name,Year_Month,Series,Data Points,Beta(J203),Beta(J200),Beta(J250),Beta(J257),Beta(J258)
712,J110,RI Top 30,2019-Q3,Responsible Investment Top 30 Series,47,0.8599367810542096,0.6932244054403269,0.6619228258723303,0.4325027059196609,0.4709867391595468
80,JA00,All Africa 40 Index,2017-Q3,All Africa Index Series,60,0.8675291489324406,0.8644639382353578,0.7974991655112058,0.8484531899202828,0.2433400899208415
81,JA0R,All Africa 40 Index Rand,2017-Q3,All Africa Index Series,60,0.8676796136992909,0.8646158574851753,0.7977314027747193,0.8486899871177287,0.2432644772491599
169,JA00,All Africa 40 Index,2017-Q4,All Africa Index Series,60,0.8844732521165707,0.8887902867773394,0.8261502679105057,0.89447572682104,0.2485680624769229
170,JA0R,All Africa 40 Index Rand,2017-Q4,All Africa Index Series,60,0.8846002006645477,0.888921434901373,0.8263728359165787,0.8946974118754615,0.2484797979764125
258,JA00,All Africa 40 Index,2018-Q1,All Africa Index Series,60,0.8432064938436741,0.8434651929458656,0.7735382710964006,0.8222790204904897,0.2464371871717103
259,JA0R,All Africa 40 Index Rand,2018-Q1,All Africa Index Series,60,0.8432780169393842,0.8435450607455782,0.7737278106068667,0.8224568290583141,0.2463157668613199
347,JA00,All Africa 40 Index,2018-Q2,All Africa Index Series,60,0.7338975352054906,0.7612284771172062,0.6607203999503971,0.7340302208212418,0.1671533178641048
348,JA0R,All Africa 40 Index Rand,2018-Q2,All Africa Index Series,60,0.7339218118736793,0.7612616503205812,0.6608765588959149,0.7341604955958111,0.1669984222441598
436,JA00,All Africa 40 Index,2018-Q3,All Africa Index Series,60,0.8151864032067385,0.7432683082018632,0.7050856367552518,0.5881545666384981,0.24150991055651516
437,JA0R,All Africa 40 Index Rand,2018-Q3,All Africa Index Series,60,0.7898853803383027,0.7983050376601678,0.6929552425987913,0.7506388455564192,0.1692826319220989
525,JA00,All Africa 40 Index,2018-Q4,All Africa Index Series,60,0.7717113364805364,0.6973977282883301,0.688534122170211,0.5700431946582772,0.2193599799387042
526,JA0R,All Africa 40 Index Rand,2018-Q4,All Africa Index Series,60,0.7550076295467174,0.7525832999520968,0.6510274392334007,0.6953833526450671,0.1834395867056972
614,JA00,All Africa 40 Index,2019-Q1,All Africa Index Series,60,0.9974538630809424,0.8789622817716025,0.8963257970269446,0.6666419723038296,0.3524075780737332
