,Instrument,Name,Series,Δ J203,%Δ J203,Δ J200,%Δ J200,Δ J250,%Δ J250,Δ J257,%Δ J257,Δ J258,%Δ J258
0,J055,Oil & Gas Producers,ICB Sector Index Series,-0.3639,-42.76,-0.3346,-41.43,-0.3347,-36.68,-0.252,-35.68,-0.0274,-22.37
1,J135,Chemicals,ICB Sector Index Series,0.5647,30.92,0.5416,33.70,0.4241,26.70,0.2854,28.53,0.3115,36.07
2,J141,Capped Shariah Top 40,Shariah Index Series,0.1353,12.66,0.1406,14.39,0.1476,16.08,0.1414,19.73,0.0923,16.20
3,J150,Gold Mining,ICB Sub-Sector Index Series,0.1644,19.13,0.1595,20.98,0.1046,14.58,0.11,17.64,0.1237,16.46
4,J151,Coal Mining,ICB Sub-Sector Index Series,-0.0443,-4.50,-0.043,-5.15,-0.0673,-8.17,-0.0414,-6.81,-0.017,-1.99
5,J153,Platinum & Precious Metals,ICB Sub-Sector Index Series,0.2299,18.33,0.2144,20.21,0.1678,16.42,0.112,15.09,0.0927,8.83
6,J154,General Mining,ICB Sub-Sector Index Series,-0.0379,-3.18,-0.019,-1.74,-0.0231,-2.69,0.001,0.14,-0.0794,-7.19
7,J173,Forestry & Paper,ICB Sector Index Series,-0.0375,-4.80,-0.0294,-3.75,-0.0123,-1.61,0.0011,0.16,0.0189,6.87
8,J175,Industrial Metals & Mining,ICB Sector Index Series,0.033,3.25,0.0285,3.24,-0.0258,-3.00,-0.0059,-0.88,0.031,2.89
9,J177,Mining,ICB Sector Index Series,0.0669,5.63,0.081,7.65,0.0634,7.58,0.0682,10.15,-0.0218,-1.95
10,J200,Top 40,Headline Index,0.0017,0.17,0.0,0.00,0.0375,3.70,0.0427,4.75,0.0428,11.69
11,J201,Mid Cap,Headline Index,-0.0597,-6.17,-0.0364,-4.49,-0.0102,-1.12,0.0108,1.92,-0.0072,-1.63
12,J202,Small Cap,Headline Index,0.0294,3.77,0.0402,6.06,0.0667,8.66,0.0782,16.34,0.0312,9.73
13,J203,All Share,Headline Index,0.0,0.00,0.003,0.31,0.0375,3.83,0.0475,5.75,0.0379,10.17
14,J204,Fledgling,Headline Index,-0.061,-13.54,-0.0497,-13.37,-0.0349,-7.95,-0.0116,-4.82,-0.0179,-9.17
15,J205,Large Cap,Headline Index,0.0153,1.54,0.0114,1.16,0.0584,5.87,0.0686,7.74,0.0362,7.03
