,Instrument,Industry,Δ J203,%Δ J203,Δ J200,%Δ J200,Δ J250,%Δ J250,Δ J257,%Δ J257,Δ J258,%Δ J258
0,4SI,Financials,0.0197,1.85,0.0459,4.71,0.0557,5.30,0.0944,11.32,0.0176,2.91
1,ABG,Financials,0.0822,8.00,0.0847,9.75,0.1246,11.29,0.1732,42.41,0.0773,22.57
2,ACE,Industrials,-0.0694,-7.37,-0.0396,-4.46,-0.0111,-1.16,0.099,13.23,0.0137,2.92
3,ACG,Financials,-0.3218,-43.04,-0.305,-41.42,-0.2687,-33.69,-0.1516,-24.80,-0.0918,-75.00
4,ACL,Basic Materials,-0.0893,-7.66,-0.074,-7.40,-0.0257,-2.29,-0.0126,-1.55,-0.0881,-12.15
5,ACS,Financials,-0.1661,-19.62,-0.1515,-19.25,-0.0951,-10.55,0.0254,4.54,-0.032,-12.46
6,ACT,Health Care,0.0441,9.85,0.0208,4.54,0.0595,12.80,0.1611,53.93,0.0536,30.03
7,ACZ,Financials,0.0089,0.84,0.0293,3.05,0.0705,6.64,0.0959,12.06,0.0088,1.59
8,ADH,Consumer Services,0.1753,28.95,0.145,25.20,0.2301,30.68,0.2749,60.27,0.1391,321.25
9,ADI,Technology,-0.0854,-9.73,-0.0783,-9.47,-0.0132,-1.46,0.0586,8.07,-0.0057,-2.24
10,ADR,Industrials,-0.3792,-44.51,-0.3657,-47.28,-0.2675,-29.47,-0.152,-32.24,-0.1456,-52.81
11,ADW,Financials,-0.0214,-2.45,-0.0154,-1.85,0.0125,1.47,0.1583,24.50,0.0483,9.89
12,AEE,Financials,0.0115,1.71,-0.0313,-4.97,0.038,5.32,0.2427,152.55,0.0986,41.24
13,AEG,Industrials,0.177,20.83,0.1437,18.49,0.2262,26.38,0.3313,64.34,0.099,22.34
14,AEL,Technology,-0.1212,-15.58,-0.1122,-15.11,-0.0905,-12.33,0.0128,2.47,-0.0407,-9.07
15,AFE,Basic Materials,-0.1482,-18.42,-0.1399,-19.86,-0.0907,-11.64,-0.0083,-2.04,-0.0617,-16.65
16,AFH,Financials,-0.0855,-13.96,-0.0997,-18.63,-0.0283,-4.70,0.0925,34.15,-0.0321,-9.71
17,AFT,Industrials,-0.0872,-16.15,-0.1006,-19.58,-0.1014,-17.74,0.0009,0.30,0.042,37.60
18,AFX,Basic Materials,-0.2081,-34.64,-0.2137,-40.81,-0.163,-28.23,-0.0512,-19.96,-0.0718,-27.81
19,AGL,Basic Materials,-0.0468,-3.64,-0.0181,-1.66,-0.0475,-5.01,0.0269,4.47,-0.1362,-10.20
20,AHA,Financials,0.191,73.95,0.1779,78.09,0.2895,95.54,0.3125,241.69,0.0543,101.88
21,AHB,Financials,-0.1232,-26.50,-0.1483,-32.22,-0.0546,-11.39,0.0908,48.58,-0.025,-20.87
22,AHL,Consumer Goods,-0.7526,-319.71,-0.7342,-218.51,-0.6497,-151.98,-0.1257,-118.92,-0.0079,5.05
23,AIL,Financials,-0.2862,-37.16,-0.2662,-33.91,-0.1962,-24.79,-0.0603,-7.57,-0.1254,-34.40
24,AIP,Health Care,-0.0794,-10.87,-0.081,-11.82,-0.0277,-3.52,0.0288,4.57,-0.0075,-3.13
25,ALH,Technology,-0.2367,-46.62,-0.2714,-55.72,-0.2116,-44.59,0.0373,956.41,-0.0583,-19.58
26,ALP,Financials,0.0848,17.00,0.0672,13.88,0.0471,9.15,0.1007,29.21,0.1058,73.42
27,AME,Consumer Services,-0.2251,-85.39,-0.2652,-94.31,-0.2204,-79.97,-0.0759,-108.74,-0.0248,-67.39
28,AMS,Basic Materials,0.1421,10.16,0.163,13.99,0.1137,10.19,0.1221,16.28,0.0004,0.03
29,ANG,Basic Materials,0.1534,16.76,0.1361,16.35,0.103,13.96,0.2221,39.02,0.0829,10.18
30,ANH,Consumer Goods,-0.092,-9.01,-0.076,-7.40,-0.0401,-3.50,-0.0629,-5.05,0.0164,5.98
31,AON,Consumer Services,0.0703,7.35,0.0789,8.66,0.1228,12.21,0.1223,14.72,0.0577,16.62
32,AOO,Consumer Services,0.0682,6.41,0.0993,10.09,0.0869,8.22,0.1241,13.71,0.0187,4.09
33,APF,Financials,0.5704,46.58,0.5424,52.44,0.4736,36.47,0.4203,62.70,0.3561,91.21
34,APH,Basic Materials,-0.0964,-9.47,-0.0599,-6.38,-0.1152,-11.85,0.0181,2.50,-0.0223,-3.70
35,APN,Health Care,0.1764,15.73,0.1881,18.39,0.1633,13.81,0.137,14.32,0.1512,39.53
36,ARA,Financials,-0.2374,-49.50,-0.2418,-46.20,-0.2479,-56.49,0.0446,16.62,0.0151,8.85
37,ARH,Industrials,-0.1461,-50.00,-0.172,-55.84,-0.1184,-27.49,0.0065,4.32,-0.0064,14.38
38,ARI,Basic Materials,0.1497,10.91,0.1673,14.82,0.0951,8.74,0.1129,15.90,0.0183,1.49
39,ARL,Consumer Goods,-0.1826,-21.18,-0.1703,-21.25,-0.0987,-11.70,-0.0185,-3.10,-0.0779,-17.91
40,ART,Industrials,-0.1671,-41.34,-0.1894,-44.49,-0.1157,-19.93,0.0147,5.02,0.0127,-12.18
41,ASC,Health Care,0.4501,40.32,0.4407,43.05,0.4162,36.30,0.3317,35.53,0.2779,69.41
42,ASR,Basic Materials,-0.1288,-17.01,-0.1405,-19.75,-0.1355,-21.22,0.0616,12.21,-0.0261,-4.13
