Instrument,Name,Year_Month,Series,Data_Points,Beta_J203,Beta_J200,Beta_J250,Beta_J257,Beta_J258
J259,Dividend Plus,2020-Q1,Dividend Forecast Index Series,60,0.9745,0.8392,0.9193,0.5815,0.4519
J200,Top 40,2020-Q1,Headline Index,60,1.0244,1,1.0139,0.8998,0.3661
J201,Mid Cap,2020-Q1,Headline Index,60,0.9678,0.8107,0.907,0.5618,0.4411
J202,Small Cap,2020-Q1,Headline Index,60,0.7804,0.663,0.7698,0.4786,0.3206
J203,All Share,2020-Q1,Headline Index,60,1,0.9538,0.9803,0.8262,0.3726
J204,Fledgling,2020-Q1,Headline Index,60,0.4505,0.3716,0.4392,0.2407,0.1952
J205,Large Cap,2020-Q1,Headline Index,41,0.9944,0.9816,0.9945,0.8858,0.5148
J300,Capped Top,2020-Q1,Headline Index Variants Index Series,60,1.0064,0.9658,0.9803,0.8174,0.3763
J303,Capped All,2020-Q1,Headline Index Variants Index Series,60,0.9869,0.932,0.9586,0.7786,0.3756
JN23,All Share Net TRI,2020-Q1,Headline Index Variants Index Series,60,1,0.9538,0.9803,0.8262,0.3726
J500,Oil & Gas,2020-Q1,ICB Industry Index Series,60,0.8481,0.7914,0.8563,0.6891,0.3397
J510,Basic Materials,2020-Q1,ICB Industry Index Series,60,1.2486,1.1372,0.9155,0.7365,0.9404
J520,Industrials,2020-Q1,ICB Industry Index Series,60,0.929,0.8012,1.0168,0.6409,0.2604
J530,Consumer Goods,2020-Q1,ICB Industry Index Series,60,0.8733,0.8971,0.8683,0.9515,0.2608
J540,Health Care,2020-Q1,ICB Industry Index Series,60,0.9719,0.8928,1.0296,0.8207,0.2908
J550,Consumer Services,2020-Q1,ICB Industry Index Series,60,1.1645,1.1357,1.2991,1.1281,0.2747
J560,Telecommunication,2020-Q1,ICB Industry Index Series,60,0.7725,0.6742,0.8135,0.5576,0.2663
J580,Financials,2020-Q1,ICB Industry Index Series,60,1.0042,0.8764,1.0665,0.6052,0.2997
J590,Technology,2020-Q1,ICB Industry Index Series,60,0.4657,0.4474,0.5204,0.5204,0.1347
J055,Oil & Gas Producers,2020-Q1,ICB Sector Index Series,60,0.851,0.8077,0.9124,0.7063,0.1225
J135,Chemicals,2020-Q1,ICB Sector Index Series,60,1.8265,1.6073,1.5883,1.0002,0.8635
J173,Forestry & Paper,2020-Q1,ICB Sector Index Series,60,0.7816,0.7838,0.764,0.7023,0.2753
J175,Industrial Metals & Mining,2020-Q1,ICB Sector Index Series,60,1.0154,0.8799,0.8604,0.667,1.0744
J177,Mining,2020-Q1,ICB Sector Index Series,60,1.1874,1.0586,0.8362,0.6719,1.1173
J235,Construction & Materials,2020-Q1,ICB Sector Index Series,60,0.7628,0.6581,0.7622,0.5536,0.3235
J272,General Industrials,2020-Q1,ICB Sector Index Series,60,0.9373,0.8164,1.0633,0.6864,0.2145
J273,Electronic & Electrical Equipment,2020-Q1,ICB Sector Index Series,60,0.7155,0.6196,0.6832,0.4201,0.3112
J275,Industrial Engineering,2020-Q1,ICB Sector Index Series,60,0.8822,0.7439,0.9073,0.5575,0.3036
J277,Industrial Transportation,2020-Q1,ICB Sector Index Series,60,1.1353,0.9643,1.1111,0.6769,0.4813
J279,Support Services,2020-Q1,ICB Sector Index Series,60,0.4574,0.3804,0.5441,0.3094,0.0738
J335,Automobiles & Parts,2020-Q1,ICB Sector Index Series,60,0.9031,0.7948,0.931,0.6344,0.352
J353,Beverages,2020-Q1,ICB Sector Index Series,60,0.8253,0.8098,0.9592,0.8655,0.0426
J357,Food Producers,2020-Q1,ICB Sector Index Series,60,0.5934,0.5377,0.6326,0.5523,0.1933
J372,Household Goods & Home Construction,2020-Q1,ICB Sector Index Series,60,0.973,0.9072,1.0074,0.8232,0.2913
J376,Personal Goods,2020-Q1,ICB Sector Index Series,60,1.0763,1.0746,0.97,0.9486,0.4866
J378,Tobacco,2020-Q1,ICB Sector Index Series,60,0.6801,0.6923,0.7046,0.7705,0.146
J453,Health Care Equipment & Services,2020-Q1,ICB Sector Index Series,60,0.8885,0.808,0.954,0.7344,0.2482
J457,Pharmaceuticals & Biotechnology,2020-Q1,ICB Sector Index Series,60,1.0318,0.9498,1.0573,0.8453,0.3518
J533,Food & Drug Retailers,2020-Q1,ICB Sector Index Series,60,0.6457,0.59,0.7047,0.5719,0.1856
J537,General Retailers,2020-Q1,ICB Sector Index Series,60,1.0999,0.9936,1.1418,0.8074,0.3193
J555,Media,2020-Q1,ICB Sector Index Series,60,1.2828,1.3036,1.3609,1.3827,0.3407
J575,Travel & Leisure,2020-Q1,ICB Sector Index Series,60,1.0027,0.8494,1.024,0.5797,0.3382
J653,Fixed Line Telecommunications,2020-Q1,ICB Sector Index Series,60,0.9377,0.8575,0.9571,0.7106,0.3318
J657,Mobile Telecommunications,2020-Q1,ICB Sector Index Series,60,0.766,0.6666,0.8074,0.5535,0.2638
J835,Banks,2020-Q1,ICB Sector Index Series,60,1.1334,1.0259,1.1544,0.7875,0.386
J853,Non-life Insurance,2020-Q1,ICB Sector Index Series,60,0.4432,0.3851,0.4887,0.386,0.1447
J857,Life Insurance,2020-Q1,ICB Sector Index Series,60,0.9996,0.8797,1.0721,0.6394,0.2723
J863,Real Estate Investment & Services,2020-Q1,ICB Sector Index Series,60,1.064,0.9867,1.0776,0.7635,0.3216
J867,Real Estate Investment Trusts,2020-Q1,ICB Sector Index Series,60,1.023,0.879,1.0476,0.6109,0.3336
J877,General Financial,2020-Q1,ICB Sector Index Series,60,1.0699,0.9858,1.1155,0.7663,0.3196
