Instrument,Start_Date,End_Date,Days_Traded,Data_Points,Year_Month,Beta_J203,Beta_J200,Beta_J250,Beta_J257,Beta_J258,Industry
4SI,2017-10-31,2020-03-31,0.9056,29,2020-Q1,1.0667,0.9751,1.0516,0.8336,0.6056,Financials
ABG,2015-03-31,2020-03-31,1,60,2020-Q1,1.0281,0.8688,1.1039,0.4084,0.3425,Financials
ACE,2015-03-31,2020-03-31,0.3699,60,2020-Q1,0.942,0.8888,0.9539,0.7483,0.469,Industrials
ACG,2015-03-31,2020-03-31,0.9912,60,2020-Q1,0.7477,0.7364,0.7975,0.6113,0.1224,Financials
ACL,2015-03-31,2020-03-31,0.9992,60,2020-Q1,1.1652,1.0006,1.1246,0.8109,0.7252,Basic Materials
ACS,2015-03-25,2020-02-28,0.2418,57,2020-Q1,0.8468,0.7869,0.9014,0.56,0.2569,Financials
ACT,2015-03-31,2020-03-31,0.9704,60,2020-Q1,0.4479,0.4582,0.4647,0.2987,0.1785,Health Care
ACZ,2017-11-24,2020-03-25,0.1263,21,2020-Q1,1.0548,0.9599,1.061,0.7949,0.5546,Financials
ADH,2015-03-31,2020-03-31,1,60,2020-Q1,0.6055,0.5753,0.75,0.4561,0.0433,Consumer Services
ADI,2015-03-31,2020-03-31,1,60,2020-Q1,0.8778,0.8268,0.9072,0.7259,0.2539,Technology
ADR,2015-03-31,2020-03-31,0.9896,60,2020-Q1,0.852,0.7734,0.9078,0.4714,0.2757,Industrials
ADW,2015-03-31,2020-03-30,0.5957,55,2020-Q1,0.8751,0.8337,0.851,0.646,0.4886,Financials
AEE,2015-03-31,2020-03-31,0.8743,60,2020-Q1,0.6727,0.6295,0.7146,0.1591,0.2391,Financials
AEG,2015-03-31,2020-03-31,1,60,2020-Q1,0.8497,0.7772,0.8575,0.5149,0.4431,Industrials
AEL,2015-03-31,2020-03-31,0.98,60,2020-Q1,0.778,0.7427,0.7337,0.5172,0.4489,Technology
AFE,2015-03-31,2020-03-31,1,60,2020-Q1,0.8046,0.7044,0.7795,0.406,0.3705,Basic Materials
AFH,2015-03-31,2020-03-31,1,60,2020-Q1,0.6124,0.5352,0.6018,0.2709,0.3306,Financials
AFT,2015-03-31,2020-03-31,0.9992,60,2020-Q1,0.5398,0.5138,0.5717,0.3027,0.1117,Industrials
AFX,2015-03-31,2020-03-31,0.9928,60,2020-Q1,0.6008,0.5237,0.5773,0.2565,0.2582,Basic Materials
AGL,2015-03-31,2020-03-31,1,60,2020-Q1,1.2846,1.0919,0.9479,0.6021,1.3357,Basic Materials
AHA,2015-03-24,2020-03-31,0.4179,60,2020-Q1,0.2583,0.2278,0.303,0.1293,0.0533,Financials
AHB,2015-03-25,2020-03-31,0.324,59,2020-Q1,0.4649,0.4603,0.4795,0.1869,0.1198,Financials
AHL,2015-03-30,2020-03-12,0.1,44,2020-Q1,0.2354,0.336,0.4275,0.1057,-0.1564,Consumer Goods
AIL,2017-09-29,2020-03-31,1,30,2020-Q1,0.7701,0.7851,0.7913,0.7967,0.3645,Financials
AIP,2015-03-31,2020-03-31,1,60,2020-Q1,0.7306,0.6854,0.7861,0.6299,0.2395,Health Care
ALH,2015-03-31,2020-03-31,0.8078,60,2020-Q1,0.5077,0.4871,0.4745,0.0039,0.2977,Technology
ALP,2015-04-22,2020-03-31,0.7247,58,2020-Q1,0.4987,0.484,0.5149,0.3447,0.1441,Financials
AME,2015-03-31,2020-03-17,0.3187,59,2020-Q1,0.2636,0.2812,0.2756,0.0698,0.0368,Consumer Services
AMS,2015-03-31,2020-03-31,1,60,2020-Q1,1.3993,1.1655,1.1163,0.7499,1.1998,Basic Materials
AND,2015-04-30,2020-03-31,0.0699,40,2020-Q1,1.0654,0.9665,1.0745,0.8045,0.5547,Financials
ANG,2015-03-31,2020-03-31,1,60,2020-Q1,0.9154,0.8322,0.7376,0.5692,0.8144,Basic Materials
ANH,2016-01-29,2020-03-31,0.999,50,2020-Q1,1.0209,1.0264,1.1461,1.2461,0.2742,Consumer Goods
AON,2015-03-17,2019-06-27,0.0381,26,2020-Q1,0.956,0.9113,1.0057,0.8306,0.3471,Consumer Services
AOO,2015-07-07,2019-06-18,0.011,11,2020-Q1,1.0644,0.984,1.0567,0.9055,0.4576,Consumer Services
APF,2015-03-31,2020-03-31,0.9872,60,2020-Q1,1.2245,1.0344,1.2986,0.6703,0.3904,Financials
APH,2018-03-26,2020-03-09,0.1627,23,2020-Q1,1.0181,0.9389,0.9718,0.7248,0.6021,Basic Materials
